,TF,target,scenic_weight
0,Arid3a,Sesn1,1.2066542093767834
1,Arid3a,Tbc1d16,1.834837989000195
2,Arid3a,Galnt6,2.242752659495541
3,Arid3a,Ptpre,1.6264346817538766
4,Arid3a,Fam64a,0.6450982898414347
5,Arid3a,Psmd5,0.6951711329489876
6,Arid3a,Prnd,1.405579905502027
7,Arid3a,Bcl2l11,5.783830550256667
8,Arid3a,Ypel5,0.8723597316935234
9,Arid3a,Fyn,1.6461506917582105
10,Arid3a,Ssr2,0.7945643415724395
11,Arid3a,Klf6,0.862213995757733
12,Arid3a,Csgalnact2,1.237785149013173
13,Arid3a,Plekhg5,0.705743935343652
14,Arid3a,Gspt1,0.8020339541368714
15,Arid3a,Cdc42,2.239757161013426
16,Arid3a,Birc3,1.3173331066701894
17,Arid3a,Camkk2,1.0631991141915649
18,Arid3a,Fbxl20,1.426104138912041
19,Arid3a,Laptm5,0.6104234092154527
20,Arid3a,Arhgap21,1.6070092034818266
21,Arid3a,Arid1b,1.998992003352807
22,Arid3a,Casp3,0.5980806292221306
23,Arid3a,Pdxk,1.1238663542717224
24,Arid3a,Plcl2,1.6974705746344823
25,Arid3a,Lrrfip1,1.1015245997725267
26,Arid3a,Nxn,2.866162752304673
27,Arid3a,Gabarapl1,0.6271439348716281
28,Arid3a,Snx10,1.3392045035545868
29,Arid3a,Stk10,0.8858711403853902
30,Arid3a,Sec63,0.9778990198118089
31,Arid3a,Ak3,2.6681843270393775
32,Arid3a,Tcf3,1.3576486963053442
33,Arid3a,Bcl2,1.076528534627325
34,Arid3a,Sec22c,0.7070281630387867
35,Arid3a,Immt,0.644847680256544
36,Arid3a,Acsl1,0.9270011603983289
37,Arid3a,Mcph1,0.7510505997249332
38,Arid3a,Rasgrp2,1.7241636065533623
39,Arid3a,Hemgn,0.7819934821054948
40,Arid3a,Tnip1,1.4576429908656656
41,Arid3a,Ep400,1.6560842048756301
42,Arid3a,Bex6,2.2787811895725394
43,Arid3a,Hps3,3.341431383656245
44,Arid3a,Hlx,1.5750994432905747
45,Arid3a,Stxbp5,1.9725788774358446
46,Arid3a,Inf2,2.029858604748708
47,Arid3a,Sars,1.8686102943290683
48,Arid3a,Dpp9,2.1536333649382464
49,Arid3a,Usp39,2.59815366012488
50,Arid3a,Tprgl,2.7153439214960686
51,Arid3a,Ramp1,2.954022929746763
52,Arid3a,Fchsd2,1.7463067041591611
53,Arid3a,Zdhhc9,1.47165448968023
54,Arid3a,Brpf3,0.929023827873051
55,Arid3a,Mllt6,2.333687092253432
56,Arid3a,Arhgap25,0.3912892853247905
57,Arid3a,Abtb2,0.6673305875256238
58,Arid3a,Ubtd1,0.5563038577424942
59,Bclaf1,Usp6nl,2.0564949168290196
60,Bclaf1,Mbnl1,0.8158937087901903
61,Bclaf1,Ezh2,10.411302541291162
62,Bclaf1,Slc16a1,0.8218406771758463
63,Bclaf1,Rad21,5.672891841005205
64,Bclaf1,Ikzf1,1.1400514563917847
65,Bclaf1,Dap3,1.805361999039671
66,Bclaf1,Itgb1,4.56707039044454
67,Bclaf1,Pkn2,3.3252750007297336
68,Bclaf1,Zfp217,2.6096122652479323
69,Bclaf1,Dck,2.225605131340223
70,Bclaf1,Baz2b,1.33846497720863
71,Bclaf1,Canx,4.226522644714589
72,Bclaf1,Brd4,1.0324637406300117
73,Bclaf1,Fmr1,1.1398664362978825
74,Bclaf1,Tbl1xr1,0.8527156564814672
75,Bclaf1,Trim24,0.6411533211627221
76,Bclaf1,Gng12,0.8695668030522342
77,Bclaf1,Eif3a,13.009503588370903
78,Bclaf1,Dock7,1.7559149653326576
79,Bclaf1,Foxp1,4.734266390758138
80,Bclaf1,Galnt1,1.922583118665024
81,Bclaf1,Eif4g2,1.3993404133596752
82,Bclaf1,Tfrc,1.0583756363734107
83,Bclaf1,Ahctf1,11.465110202919638
84,Bclaf1,Aplp2,11.670500172502246
85,Bclaf1,Nucks1,1.5894662596948956
86,Bclaf1,Cdc42,1.7095985643082756
87,Bclaf1,Rnf144a,0.813506319190016
88,Bclaf1,Naa50,0.6243039947897663
89,Bclaf1,Hnrnpc,2.153742103479641
90,Bclaf1,Ccar1,7.650028864403855
91,Bclaf1,Csde1,2.8667915269215807
92,Bclaf1,Tmpo,5.7660678966314345
93,Bclaf1,Atp13a3,6.292766088099115
94,Bclaf1,Hprt,0.9549286921659202
95,Bclaf1,Ubqln1,1.7471906887733488
96,Bclaf1,Cltc,17.650541254590376
97,Bclaf1,Tax1bp1,6.285133985118685
98,Bclaf1,Scaf11,9.444140474772212
